seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
1,-576454409633,1.1364780340909084,4.899678125901454,4.9873,4.9592,1,2,1,
2,-576454409429,1.2532985340909095,4.916611187599001,4.9779,5.0014,1,2,1,
3,-576454409363,1.114441200000001,4.933039047738873,5.0249,4.9873,1,2,1,
4,-576454409224,1.1573812545454532,4.914301932706879,4.996700000000001,4.9779,1,2,1,
5,-576454409119,1.2320393659090905,4.926425338711969,4.992,5.0061,1,2,1,
6,-576454408917,1.083079090909091,4.910783901904852,5.0108,4.9592,1,2,1,
7,-576454408854,1.1362979386363632,4.9141339899696455,5.0014,4.9733,1,2,1,
8,-576454408711,1.1150684659090901,4.90900599089124,5.0014,4.9639,1,2,1,
9,-576454408506,1.1146018545454537,4.923404506785059,5.0155,4.9779,1,2,1,
10,-576454408405,1.1362979386363632,4.9141339899696455,5.0014,4.9733,1,2,1,
11,-576454408302,1.0828586181818187,4.920418349245343,5.0202,4.9686,1,2,1,
12,-576454408200,1.0191804545454555,4.908921825053539,5.0249,4.9451,1,2,1,
13,-576454407995,1.1044687909090904,4.906408867474981,5.0014,4.9592,1,2,1,
14,-576454407944,1.1785902181818173,4.938525375943394,5.0155,5.0061,1,2,1,
15,-576454407815,1.2106697477272736,4.921696172944638,4.992,4.996700000000001,1,2,1,
16,-576454407685,1.1153088068181807,4.894550347224955,4.9873,4.9498,1,2,1,
17,-576454407553,1.1470016249999995,4.887799875692188,4.9733,4.9498,1,2,1,
18,-576454407424,1.1153088068181807,4.894550347224955,4.9873,4.9498,1,2,1,
19,-576454407292,1.221209390909092,4.890441659780362,4.9592,4.9686,1,2,1,
20,-576454407159,1.2316928181818187,4.9072042015212505,4.9733,4.9873,1,2,1,
21,-576454407021,1.1471776909090896,4.892570508899411,4.9779,4.9544999999999995,1,2,1,
22,-576454406897,1.2213093727272732,4.9144351461021625,4.9826,4.992,1,2,1,
23,-576454406764,1.0931519090909094,4.927820998711318,5.0249,4.9779,1,2,1,
24,-576454406636,1.083079090909091,4.910783901904852,5.0108,4.9592,1,2,1,
25,-576454406504,1.1471277000000006,4.897389835766535,4.9826,4.9592,1,2,1,
26,-576454406373,1.0407808000000014,4.899998314056548,5.0108,4.9404,1,2,1,
27,-576454406241,1.1576874250000004,4.9047176304082685,4.9873,4.9686,1,2,1,
28,-576454406108,1.1360116363636363,4.918898058012628,5.0061,4.9779,1,2,1,
29,-576454405976,1.1572607636363639,4.928756365886193,5.0108,4.992,1,2,1,
30,-576454405742,1.093678765909091,4.913425307350919,5.0108,4.9639,1,2,1,
31,-576454405686,1.2,4.919298101369436,4.992,4.992,1,2,1,
32,-576454405585,1.1152286931818167,4.899369129128069,4.992,4.9544999999999995,1,2,1,
33,-576454405454,1.2636420295454545,4.909315601715465,4.9686,4.996700000000001,1,2,1,
34,-576454405229,1.2210431522727268,4.904849638324798,4.9733,4.9826,1,2,1,
35,-576454405195,1.0835200363636375,4.891512211909753,4.992,4.9404,1,2,1,
36,-576454405025,1.0619098636363633,4.905435042737063,5.0108,4.9498,1,2,1,
37,-576454404921,1.1150684659090901,4.90900599089124,5.0014,4.9639,1,2,1,
38,-576454404778,1.178670545454545,4.9192536537306,4.996700000000001,4.9873,1,2,1,
39,-576454404673,1.2,4.924116421465536,4.996700000000001,4.996700000000001,1,2,1,
40,-576454404543,1.1471776909090896,4.892570508899411,4.9779,4.9544999999999995,1,2,1,
41,-576454404398,1.1893302522727263,4.921696172944638,4.996700000000001,4.992,1,2,1,
42,-576454404206,1.125888399999998,4.897125255318397,4.9873,4.9544999999999995,1,2,1,
43,-576454404104,1.1895964727272728,4.902472814619396,4.9779,4.9733,1,2,1,
44,-576454404001,1.1257482545454531,4.906762679841064,4.996700000000001,4.9639,1,2,1,
45,-576454403797,1.0931519090909094,4.927820998711318,5.0249,4.9779,1,2,1,
46,-576454403694,1.189350334090908,4.912059091538895,4.9873,4.9826,1,2,1,
47,-576454403592,1.1893302522727263,4.921696172944638,4.996700000000001,4.992,1,2,1,
48,-576454403489,1.1469777272727262,4.911846411456746,4.996700000000001,4.9733,1,2,1,
49,-576454403359,1.1364923181818183,4.880448823282375,4.9686,4.9404,1,2,1,
50,-576454403181,1.0728502886363638,4.893667461325163,4.996700000000001,4.9404,1,2,1,
