1824,-576460259392,2,44.1,0.0,0.0
1825,-576460258962,2,46.45,0.0,0.0
1826,-576460258880,2,45.51,0.0,0.0
1827,-576460258796,2,45.98,0.0,0.0
1828,-576460258368,2,45.98,0.0,0.0
1829,-576460258274,2,46.45,0.0,0.0
1830,-576460258039,2,45.98,0.0,0.0
1831,-576460257959,2,44.1,0.0,0.0
1832,-576460257897,2,45.04,0.0,0.0
1833,-576460257662,2,45.98,0.0,0.0
1834,-576460257591,2,43.16,0.0,0.0
1835,-576460257514,2,45.04,0.0,0.0
1836,-576460257444,2,43.63,0.0,0.0
1837,-576460257374,2,43.63,0.0,0.0
1838,-576460257304,2,45.98,0.0,0.0
1839,-576460257233,2,44.57,0.0,0.0
1840,-576460257139,2,41.76,0.0,0.0
1841,-576460257089,2,43.63,0.0,0.0
1842,-576460257018,2,43.63,0.0,0.0
1843,-576460256943,2,44.1,0.0,0.0
1844,-576460256876,2,45.98,0.0,0.0
1845,-576460256806,2,43.16,0.0,0.0
1846,-576460256730,2,41.76,0.0,0.0
1847,-576460256658,2,44.1,0.0,0.0
1848,-576460256588,2,44.57,0.0,0.0
1849,-576460256516,2,41.76,0.0,0.0
1850,-576460256443,2,42.23,0.0,0.0
1851,-576460256361,2,44.1,0.0,0.0
1852,-576460256285,2,44.57,0.0,0.0
1853,-576460256216,2,43.63,0.0,0.0
1854,-576460256142,2,45.04,0.0,0.0
1855,-576460256069,2,45.51,0.0,0.0
1856,-576460255996,2,46.45,0.0,0.0
1857,-576460255924,2,44.1,0.0,0.0
1858,-576460255838,2,45.04,0.0,0.0
1859,-576460255767,2,45.04,0.0,0.0
1860,-576460255695,2,40.35,0.0,0.0
1861,-576460255624,2,45.04,0.0,0.0
1862,-576460255551,2,45.51,0.0,0.0
1863,-576460255476,2,43.16,0.0,0.0
1864,-576460255407,2,43.63,0.0,0.0
1865,-576460255337,2,44.57,0.0,0.0
1866,-576460255266,2,42.23,0.0,0.0
1867,-576460255191,2,43.16,0.0,0.0
1868,-576460255114,2,44.57,0.0,0.0
1869,-576460255051,2,43.63,0.0,0.0
1870,-576460254980,2,42.69,0.0,0.0
1871,-576460254482,2,45.04,0.0,0.0
1872,-576460254409,2,43.63,0.0,0.0
1873,-576460254337,2,41.76,0.0,0.0
1954,-576460247570,2,98.53,0.0,0.0
1955,-576460247495,2,101.81,0.0,0.0
1956,-576460247425,2,100.4,0.0,0.0
1957,-576460247353,2,99.93,0.0,0.0
1958,-576460247282,2,95.71,0.0,0.0
1959,-576460247210,2,98.06,0.0,0.0
1960,-576460247139,2,96.18,0.0,0.0
